編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOJLHOFFBP88CA,22,101.68,住家用,鋼筋混凝土造,85年10月20日,十一層,七層
RPPNMLOJLHOFFBP88CA,22,38.13,共有部份,鋼筋混凝土造,85年10月20日,十一層,
RPPNMLOJLHOFFBP88CA,22,4.36,見其他登記事項,鋼筋混凝土造,85年10月20日,十一層,
RPTNMLMLKHOFFDP76CA,,170.47,見其他登記事項,鋼筋混凝土造,107年9月27日,四層,一層 二層 三層 四層
RPPNMLLKLHOFFBP68CA,,169.82,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPOOMLLLKHOFFAP58CA,11,334.44,見其他登記事項,見其他登記事項,96年8月22日,二層,一層 二層
RPQNMLLKLHOFFBP78CA,,169.50,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPRNMLLKLHOFFBP88CA,,148.35,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPTNMLLLKHOFFAP98CA,38,115.50,住家用,加強磚造,69年10月20日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLMLKHOFFAP68CA,26,100.44,住家用,鋼筋混凝土造,82年7月15日,六層,四層
RPPNMLMLKHOFFAP68CA,26,36.98,共同部份,鋼筋混凝土造,82年7月15日,六層,
RPRNMLRLKHOFFAP76CA,8,173.05,住家用,鋼筋混凝土造,100年5月16日,四層,一層 二層 三層 電梯樓梯間
RPPNMLNLKHOFFAP78CA,46,110.91,住家用,鋼筋混凝土造,62年4月1日,二層,一層 二層
RPOOMLPJLHOFFAP88CA,25,94.57,住家用,鋼筋混凝土造,83年6月15日,十二層,七層
RPOOMLPJLHOFFAP88CA,25,13.07,共同部份,鋼筋混凝土造,83年6月15日,,
RPOOMLPJLHOFFAP88CA,25,11.33,共同部份,鋼筋混凝土造,83年6月15日,十二層,
RPOOMLPJLHOFFAP88CA,25,13.75,見其他登記事項,鋼筋混凝土造,83年6月15日,十二層,地下層
RPQOMLLLKHOFFAP78CA,25,34.59,住家用,鋼筋混凝土造,83年7月1日,九層,五層
RPQOMLLLKHOFFAP78CA,25,14.84,共同部份,鋼筋混凝土造,83年7月1日,九層,
RPQOMLLLKHOFFAP78CA,25,12.95,共同部份,鋼筋混凝土造,83年7月1日,九層,
RPVNMLNLKHOFFBP86CA,,186.42,住家用,鋼筋混凝土造,107年9月21日,三層,一層 二層 三層
RPVNMLMLKHOFFDP96CA,25,168.98,住家用,鋼筋混凝土造,82年11月22日,三層,一層 二層 三層
RPXNMLNLKHOFFDP27CA,40,206.20,住商用,加強磚造,67年7月25日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPXNMLMLKHOFFDP17CA,20,109.91,住家用,鋼筋混凝土造,88年7月30日,十四層,十二層
RPXNMLMLKHOFFDP17CA,20,36.43,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPXNMLMLKHOFFDP17CA,20,2.11,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPXNMLMLKHOFFDP17CA,20,13.35,見其他登記事項,鋼筋混凝土造,88年7月30日,十四層,
RPPNMLMLKHOFFFP56CA,21,189.18,住商用,鋼筋混凝土造,86年11月26日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPNMLMLKHOFFFP56CA,21,189.18,住商用,鋼筋混凝土造,86年11月26日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPVNMLMKLHOFFAP76DA,11,203.96,商業用,鋼筋混凝土造,97年2月22日,三層,一層 二層 三層 電梯樓梯間
