鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
竹南鎮,房地(土地+建物),苗栗縣竹南鎮明德街1~30號,77.0,住,,,1080216,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0651206,106.28,1,1,1,有,無,有,11000,104,,0.0,0,,RPSNMLPLKHOFFDK66CC
後龍鎮,房地(土地+建物),苗栗縣後龍鎮豐富里16鄰新東路421~450號,84.3,住,,,1080225,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,1020709,260.19,6,1,4,有,無,有,25000,96,,0.0,0,,RPUNMLOJLHOFFDK66CC
頭份巿,房地(土地+建物),苗栗縣頭份鎮東民六街31~60號,202.35,住,,,1080301,土地2建物1車位0,全,3,透天厝,見其他登記事項,見其他登記事項,1000503,275.3,0,0,0,無,無,無,10000,36,,0.0,0,,RPROMLOJLHOFFFK66CC
竹南鎮,建物,苗栗縣竹南鎮光復路2611~2640號,106.78,住,,,1080306,土地0建物1車位0,全,1,透天厝,見其他登記事項,鋼筋混凝土造,1011023,63.9,0,0,0,無,無,無,20000,313,,0.0,0,,RPQOMLPKLHOFFDK56CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮環市路三段121~150號,184.12,工,,,1080401,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0961120,341.86,5,2,4,有,有,無,15000,44,,0.0,0,,RPQNMLTJMHOFFDK86CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮建國路288巷21弄1~30號,400.53,工,,,1080501,土地1建物1車位0,見其他登記事項,2,工廠,住工用,加強磚造,,125.43,0,0,0,無,無,無,36000,,,0.0,0,,RPVNMLQJNHOFFDK17CC
