編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLRKKHKFFCD08CA,30,96.55,住家用,鋼筋混凝土構造,73年10月11日,五層,一層
RPTNMLRKKHKFFCD08CA,30,26.96,共有部分,鋼筋混凝土構造,73年10月11日,五層,
RPXOMLRKKHKFFCD58CA,29,142.10,住家用,鋼筋混凝土構造,75年6月12日,二層,一層 二層 屋頂突出物 夾層
RPQOMLOJKHKFFCR88CA,10,336.16,見其他登記事項,鋼筋混凝土造,94年1月31日,三層,一層 二層 三層 騎樓 地下層
RPQOMLMKKHKFFDR88CA,21,165.39,見其他登記事項,鋼筋混凝土造,83年3月30日,三層,
RPVNMLOJKHKFFER86CA,20,284.39,住家用,鋼筋混凝土造,83年8月10日,三層,一層 二層 三層 屋頂突出物
RPQNMLPJKHKFFER09CA,9,194.99,住家用,鋼筋混凝土造,94年7月12日,四層,四層 一層 二層 三層 騎樓
RPPRMLMKKHKFFER56CA,6,91.20,見其他登記事項,鋼筋混凝土造,98年5月4日,十三層,
RPPRMLMKKHKFFER56CA,6,61.00,住家用,鋼筋混凝土造,98年5月4日,十三層,十一層
RPWNMLNLKHKFFER07CA,,91.87,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,一層 二層 四層 三層
RPWNMLNLKHKFFER07CA,,.36,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPWNMLNLKHKFFER07CA,,91.87,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,三層 四層 一層 二層
RPWNMLNLKHKFFER07CA,,.36,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPXNMLNLKHKFFER17CA,,183.77,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,一層 二層 三層 四層
RPXPMLLKKHKFFER07CA,,158.93,住家用,鋼筋混凝土造,103年11月3日,三層,一層 二層 三層 見其他登記事項
RPXNMLNLKHKFFER17CA,,.72,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPWNMLRKKHKFFER37CA,,183.74,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,一層 二層 三層 四層
RPWNMLRKKHKFFER37CA,,.72,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPVNMLNLKHKFFER96CA,,91.87,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,一層 二層 三層 四層
RPVNMLNLKHKFFER96CA,,.36,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPVNMLNLKHKFFER96CA,,91.87,見其他登記事項,鋼筋混凝土造,103年11月5日,四層,一層 二層 三層 四層
RPVNMLNLKHKFFER96CA,,.36,見其他登記事項,鋼筋混凝土造,103年11月5日,一層,
RPTNMLNJKHKFFFR66CA,12,155.68,住家用,鋼筋混凝土造,92年6月30日,三層,一層 二層 三層
RPSOMLTJKHKFFFR27CA,21,82.38,住家用,鋼筋混凝土造,83年6月8日,十一層,五層
RPSOMLTJKHKFFFR27CA,21,7.23,共有部分,鋼筋混凝土造,83年6月8日,十一層,
RPSOMLTJKHKFFFR27CA,21,12.38,見其他登記事項,鋼筋混凝土造,83年6月8日,十一層,
RPOOMLOLKHKFFFR56CA,,213.05,住家用,鋼筋混凝土造,103年9月15日,四層,一層 二層 三層 四層
RPPQMLOJKHKFFHR86CA,,195.48,住家用,見其他登記事項,103年10月16日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLNJKHKFFHR56CA,17,79.57,住商用,鋼筋混凝土造,86年9月26日,十一層,一層 地下一層
RPOPMLNJKHKFFHR56CA,17,17.99,共有部分,鋼筋混凝土造,86年9月26日,十一層,
RPRQMLOJKHKFFHR07CA,,300.52,住家用,見其他登記事項,103年10月16日,四層,一層 二層 三層 四層
RPUNMLOJKHKFFFR86CA,1,196.66,住家用,鋼筋混凝土造,103年4月17日,四層,一層 二層 三層 四層
RPVQMLOJKHKFFHR47CA,,226.88,住家用,見其他登記事項,103年10月16日,四層,一層 二層 三層 四層
RPQSMLOJKHKFFHR17CA,,258.93,住家用,見其他登記事項,103年10月16日,四層,一層 二層 三層 四層
RPUOMLOJKHKFFHR17CA,20,.66,見其他登記事項,鋼筋混凝土造,84年5月4日,七層,
RPUOMLOJKHKFFHR17CA,20,65.81,住家用,鋼筋混凝土造,84年5月4日,七層,六層
RPUOMLOJKHKFFHR17CA,20,46.18,共有部分,鋼筋混凝土造,84年5月4日,七層,
RPRNMLSJKHKFFHR17CA,2,59.35,見其他登記事項,見其他登記事項,101年8月17日,十九層,十二層
RPRNMLSJKHKFFHR17CA,2,30.55,見其他登記事項,見其他登記事項,101年8月17日,十九層,
RPWNMLQJKHKFFHR47CA,,209.88,住家用,見其他登記事項,103年9月25日,四層,一層 二層 三層 四層
RPVNMLOJKHKFFHR17CA,40,81.44,住家用,鋼筋混凝土造,63年10月29日,二層,一層 二層
RPQSMLMKKHKFFHR07CA,,89.10,住家用,見其他登記事項,103年12月2日,五層,三層
RPQSMLMKKHKFFHR07CA,,11.61,見其他登記事項,見其他登記事項,103年12月2日,五層,
RPQSMLMKKHKFFHR07CA,,13.88,見其他登記事項,見其他登記事項,103年12月2日,五層,
RPUNMLLKKHKFFHR86CA,15,23.66,住家用,鋼筋混凝土造,88年8月24日,十四層,三層
RPUNMLLKKHKFFHR86CA,15,1.04,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPUNMLLKKHKFFHR86CA,15,6.52,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPUNMLLKKHKFFHR86CA,15,.60,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPQMLMKKHKFFHR76CA,22,72.50,住家用,鋼筋混凝土造,82年3月10日,十一層,八層
RPPQMLMKKHKFFHR76CA,22,18.69,共有部分,鋼筋混凝土造,82年3月10日,十一層,
RPPQMLMKKHKFFHR76CA,22,11.95,共有部分,鋼筋混凝土造,82年3月10日,十一層,
RPPNMLKKKHKFFHR88CA,39,94.20,住家用,加強磚造,64年9月11日,二層,一層 二層
RPSOMLTJKHKFFHR47CA,16,57.02,住家用,鋼筋混凝土造,88年5月19日,十一層,三層
RPSOMLTJKHKFFHR47CA,16,17.89,共有部分,鋼筋混凝土造,88年5月19日,十四層,
