編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLQKNHNFFAX57CA,40,76.64,住家用,鋼筋混凝土加強磚造,67年6月7日,二層,一層 二層 電梯樓梯間
RPPNMLRJOHNFFAX57DA,38,92.20,住家用,鋼筋混凝土加強磚造,69年5月30日,三層,一層 二層 三層
RPSNMLSKNHNFFAX97DA,,276.98,住家用,鋼筋混凝土造,106年12月6日,三層,一層 二層 三層 見其他登記事項
RPVNMLOLNHNFFAX97DA,,311.05,住家用,鋼筋混凝土造,107年2月2日,三層,一層 二層 三層 見其他登記事項
RPVNMLPLNHNFFAX97CA,,320.13,住家用,鋼筋混凝土造,107年2月1日,三層,一層 二層 三層 見其他登記事項
RPRNMLSKNHNFFAX77CA,51,57.04,住家用,鋼筋混凝土加強空心磚造,56年2月6日,一層,一層
RPTNMLSKNHNFFAX08DA,23,220.24,住商用,鋼筋混凝土造,84年7月4日,三層,一層 二層 三層 電梯樓梯間
RPXNMLPLNHNFFAX18CA,24,169.78,住家用,鋼筋混凝土造,82年10月27日,六層,六層
RPXNMLPLNHNFFAX18CA,24,60.12,見其他登記事項,鋼筋混凝土造,82年10月27日,六層,
RPWNMLPLNHNFFAX08CA,25,88.87,住商用,鋼筋混凝土造,82年3月17日,七層,一層 二層
RPWNMLPLNHNFFAX08CA,25,6.31,見其他登記事項,鋼筋混凝土造,82年3月17日,七層,
RPSNMLPLNHNFFAX67CA,39,67.40,住家用,鋼筋混凝土加強磚造,68年4月23日,二層,一層 二層 電梯樓梯間
RPTNMLOLNHNFFAX77DA,12,186.73,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,九層
RPQNMLRLNHNFFAX67CA,40,80.00,住家用,鋼筋混凝土加強磚造,67年8月19日,二層,一層 二層 電梯樓梯間
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPQNMLSLNHNFFAX77CA,51,67.64,住家用,見其他登記事項,56年10月27日,二層,一層 二層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
RPSNMLKMNHNFFAX27CA,18,27.86,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,四層
RPSNMLKMNHNFFAX27CA,18,3.29,見其他登記事項,鋼筋混凝土造,89年1月11日,五層,
