編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLKMJILFFAN28CA,15,178.48,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,十層
RPQOMLKMJILFFAN28CA,15,27.56,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPQOMLKMJILFFAN28CA,15,58.66,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPPOMLKMJILFFAN18CA,15,178.48,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,九層
RPPOMLKMJILFFAN18CA,15,27.56,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPPOMLKMJILFFAN18CA,15,57.95,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPROMLKMJILFFAN38CA,15,183.95,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,十二層
RPROMLKMJILFFAN38CA,15,28.30,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPROMLKMJILFFAN38CA,15,59.38,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPTOMLRKJILFFAN09CA,38,107.58,住家用,鋼筋混凝土加強磚造,67年10月23日,二層,一層 二層
RPPNMLPJJILFFAN28CA,1,219.21,見其他登記事項,鋼筋混凝土造,104年12月2日,四層,一層 二層 三層 四層
RPTNMLOKJILFFAN68CA,25,31.08,住家用,鋼筋混凝土造,81年3月17日,七層,四層
RPTNMLOKJILFFAN68CA,25,15.93,見其他登記事項,鋼筋混凝土造,81年3月17日,七層,
RPQNMLPJJILFFAN38CA,1,218.03,住家用,鋼筋混凝土造,104年12月2日,四層,一層 二層 三層 四層
RPTNMLTJJILFFAN09CA,1,139.15,住家用,鋼筋混凝土造,104年11月5日,四層,一層 二層 三層 四層
RPUNMLOKJILFFAN78CA,18,119.56,住家用,鋼筋混凝土造,87年12月17日,八層,一層
RPUNMLOKJILFFAN78CA,18,38.80,見其他登記事項,鋼筋混凝土造,87年12月17日,,
RPTNMLQKJILFFBN98CA,20,100.10,見其他登記事項,鋼筋混凝土造,86年2月3日,九層,八層
RPTNMLQKJILFFBN98CA,20,15.00,停車空間,鋼筋混凝土造,86年2月3日,九層,
RPTNMLQKJILFFBN98CA,20,32.38,見其他登記事項,鋼筋混凝土造,86年2月3日,九層,
RPQNMLRKJILFFCN88CA,27,313.77,見其他登記事項,見其他登記事項,78年4月26日,二層,一層 二層 地下一層
RPQNMLRKJILFFCN88CA,27,1232.60,工業用,見其他登記事項,78年4月26日,一層,一層
RPQNMLPKJILFFCN68CA,,181.01,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPTRMLSJJILFFCN96CA,1,300.20,見其他登記事項,鋼筋混凝土造,105年1月26日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLSLJILFFAN78CA,,436.01,見其他登記事項,鋼筋混凝土造,105年5月25日,五層,一層 二層 三層 四層 五層 騎樓
RPQOMLSLJILFFAN98CA,,459.52,見其他登記事項,鋼筋混凝土造,105年5月25日,五層,一層 二層 三層 四層 五層
RPTOMLOJJILFFCN88CA,,179.35,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPQNMLLKJILFFCN28CA,,374.03,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPPNMLLKJILFFCN18CA,,193.85,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPRNMLLKJILFFCN38CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPTNMLRJJILFFDN56CA,25,28.39,住家用,鋼筋混凝土造,81年1月6日,六層,五層
RPTNMLRJJILFFDN56CA,25,7.55,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPTNMLRJJILFFDN56CA,25,1.17,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPTNMLRJJILFFDN56CA,25,8.36,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPRNMLPKJILFFCN78CA,,180.57,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPTNMLPKJILFFCN98CA,,177.77,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPSNMLPKJILFFCN88CA,,182.82,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPXNMLOLJILFFDN86CA,25,78.36,住家用,鋼筋混凝土造,80年11月16日,九層,六層
RPXNMLOLJILFFDN86CA,25,10.32,共有部分,鋼筋混凝土造,80年11月16日,九層,
RPXNMLOLJILFFDN86CA,25,9.59,共有部分,鋼筋混凝土造,80年11月16日,九層,
RPXNMLOLJILFFDN86CA,25,8.51,停車空間,鋼筋混凝土造,80年11月16日,九層,
RPOOMLNJJILFFDN38CA,38,119.11,住家用,鋼筋混凝土加強磚造,68年4月3日,二層,一層 二層 騎樓
RPPNMLMKJILFFEN48CA,,167.68,住家用,鋼筋混凝土造,105年5月19日,三層,一層 二層 三層 見其他登記事項
RPQNMLPKJILFFGN09CA,28,107.18,住家用,加強磚造,78年1月20日,二層,一層 二層
RPSPMLNJJILFFAN68DA,36,96.20,住家用,鋼筋混凝土造,69年10月1日,二層,一層 二層
RPQNMLKKJILFFBN18DA,26,194.22,住商用,鋼筋混凝土造,79年9月14日,四層,一層 二層 三層 四層 騎樓
RPRNMLSJJILFFAN88DA,31,92.93,住家用,鋼筋混凝土造,74年8月10日,五層,五層
RPQNMLRKJILFFHN76CA,1,213.52,見其他登記事項,鋼筋混凝土造,104年5月19日,四層,一層 二層 三層 四層
RPRNMLSJJILFFEN56CA,1,155.34,住家用,鋼筋混凝土造,105年3月10日,三層,一層 二層 三層 見其他登記事項
RPVNMLRKJILFFHN27CA,,177.25,見其他登記事項,鋼筋混凝土造,105年4月20日,四層,一層 二層 三層 四層
RPQNMLMKJILFFDN48CA,38,134.64,住商用,鋼筋混凝土造,68年1月3日,三層,一層 二層 三層
RPSOMLRKJILFFDN66CA,60,38.45,住家用,磚造,46年1月10日,一層,一層
RPTNMLSJJILFFDN66CA,1,246.16,見其他登記事項,鋼筋混凝土造,104年11月12日,四層,一層 二層 三層 四層 騎樓
RPTNMLSJJILFFDN66CA,1,7.20,共有部分,鋼筋混凝土造,104年11月12日,四層,
RPUNMLLKJILFFCN68CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPSNMLTKJILFFDN76CA,22,99.46,住家用,鋼筋混凝土造,83年4月15日,十二層,十二層
RPSNMLTKJILFFDN76CA,22,33.60,見其他登記事項,鋼筋混凝土造,83年4月15日,十二層,
RPTNMLLKJILFFCN58CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPXNMLLKJILFFCN98CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPVNMLLKJILFFCN78CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPWNMLLKJILFFCN88CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPRNMLOKJILFFFN98CA,1,323.08,住宅,鋼筋混凝土造,104年8月7日,四層,一層 二層 三層 四層 騎樓
RPVNMLPKJILFFCN56CA,,180.96,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPOOMLLKJILFFCN18CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPPOMLLKJILFFCN28CA,,177.11,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPWNMLPKJILFFCN66CA,,181.01,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPWQMLSJJILFFCN17CA,,367.37,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPPOMLPKJILFFCN68CA,,186.61,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPXNMLPKJILFFCN76CA,,196.99,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPOOMLPKJILFFCN58CA,,180.55,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPUOMLPKJILFFAN98CA,22,158.87,住商用,鋼筋混凝土造,83年7月12日,三層,一層 二層 三層
RPPPMLPKJILFFAN58CA,,345.38,見其他登記事項,鋼筋混凝土造,104年11月24日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPWNMLQKJILFFAN56CA,45,110.85,住工用,鋼筋混凝土加強磚造,60年7月30日,二層,一層 二層
RPQNMLSJJILFFAN68CA,34,109.20,住家用,加強磚造,71年8月17日,二層,一層 二層 騎樓
RPQNMLTJJILFFAN78CA,1,239.21,見其他登記事項,鋼筋混凝土造,104年9月16日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPVOMLRKJILFFAN66CA,36,88.56,住家用,加強磚造,70年2月4日,二層,一層 二層
RPROMLSJJILFFAN88CA,19,63.66,住家用,鋼筋混凝土造,87年3月27日,十三層,十二層
RPROMLSJJILFFAN88CA,19,16.50,見其他登記事項,鋼筋混凝土造,87年3月27日,十三層,
RPWNMLSJJILFFAN66CA,1,239.21,見其他登記事項,鋼筋混凝土造,104年9月16日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPRNMLLKJILFFAN18CA,1,223.47,見其他登記事項,鋼筋混凝土造,104年8月4日,四層,一層 二層 三層 四層
RPOOMLSJJILFFAN58CA,1,393.59,見其他登記事項,鋼筋混凝土造,104年9月16日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSPMLSKJILFFAN56CA,43,158.70,住家用,鋼筋混凝土加強磚造,62年4月15日,二層,一層 二層 騎樓
RPUOMLTJJILFFAN66CA,30,93.65,住家用,加強磚造,75年6月16日,二層,一層 二層
RPWNMLLKJILFFAN68CA,36,85.70,住家用,加強磚造,69年12月20日,二層,一層 二層
RPQNMLPKJILFFAN48CA,16,155.97,住家用,鋼筋混凝土造,89年6月2日,四層,一層 二層 三層 四層
RPSOMLTJJILFFAN09CA,42,113.40,商業用,加強磚造,63年12月6日,二層,一層 二層 騎樓
RPPNMLPKJILFFAN38CA,1,408.44,見其他登記事項,鋼筋混凝土造,104年11月9日,五層,一層 二層 三層 四層 五層
RPXNMLPLJILFFAN66CA,31,103.30,住家用,鋼筋混凝土造,74年7月23日,五層,一層
RPXNMLPLJILFFAN66CA,31,5.62,見其他登記事項,鋼筋混凝土造,74年7月23日,五層,
RPXNMLPLJILFFAN66CA,31,7.01,見其他登記事項,鋼筋混凝土造,74年7月23日,五層,
RPQNMLOKJILFFBN48CA,,166.25,見其他登記事項,鋼筋混凝土造,105年5月31日,三層,一層 二層 三層 見其他登記事項
RPQNMLSKJILFFCN98CA,23,217.62,見其他登記事項,鋼筋混凝土造,82年7月15日,四層,一層 二層 三層 四層
RPOOMLNLJILFFDN58CA,,170.99,見其他登記事項,鋼筋混凝土造,105年5月16日,三層,一層 二層 三層 屋頂突出物
RPOOMLNLJILFFDN58CA,,1.53,見其他登記事項,鋼筋混凝土造,105年5月17日,二層,
RPUNMLNLJILFFDN09CA,2,199.02,見其他登記事項,鋼筋混凝土造,105年5月16日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLNLJILFFDN09CA,2,1.53,見其他登記事項,鋼筋混凝土造,105年5月17日,二層,
RPUNMLMJKILFFCN78CA,37,126.00,住家用,加強磚造,68年8月6日,二層,一層 二層 騎樓
