編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLNKRHNFFAX97CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPVOMLNKRHNFFAX18CA,,39.04,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,二層
RPVOMLNKRHNFFAX18CA,,23.55,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPSOMLNKRHNFFAX87CA,,31.79,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,二層
RPSOMLNKRHNFFAX87CA,,19.18,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPUOMLNKRHNFFAX08CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPUOMLNKRHNFFAX08CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPWOMLNKRHNFFAX28CA,,33.52,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,二層
RPWOMLNKRHNFFAX28CA,,20.23,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPOPMLNKRHNFFAX57CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,二層
RPOPMLNKRHNFFAX57CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPPPMLNKRHNFFAX67CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,六層
RPPPMLNKRHNFFAX67CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPXOMLNKRHNFFAX38CA,,39.04,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,二層
RPXOMLNKRHNFFAX38CA,,23.55,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPTNMLPKRHNFFAX08CA,,36.14,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPTNMLPKRHNFFAX08CA,,21.80,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPQNMLPKRHNFFAX77CA,,39.04,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPQNMLPKRHNFFAX77CA,,23.55,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPRNMLPKRHNFFAX87CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPRNMLPKRHNFFAX87CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPVNMLPKRHNFFAX28CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPVNMLPKRHNFFAX28CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPUNMLPKRHNFFAX18CA,,37.93,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPUNMLPKRHNFFAX18CA,,22.88,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPWNMLPKRHNFFAX38CA,,39.04,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,三層
RPWNMLPKRHNFFAX38CA,,23.55,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPXNMLPKRHNFFAX48CA,,39.04,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,五層
RPXNMLPKRHNFFAX48CA,,23.55,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPOOMLPKRHNFFAX67CA,,33.83,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,五層
RPOOMLPKRHNFFAX67CA,,20.41,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPROMLPKRHNFFAX97CA,,37.93,見其他登記事項,鋼筋混凝土造,107年6月20日,九層,五層
