編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJIINFFBV09CA,30,116.93,住家用,加強磚造,77年10月22日,二層,一層 二層
RPRNMLMJIINFFAV09CA,37,200.52,住家用,鋼筋混凝土造,70年12月31日,三層,一層 二層 三層 騎樓
RPUNMLLLRHNFFAV67CA,,45.98,住家用,見其他登記事項,,一層,一層
RPUNMLTKRHNFFAV38CA,25,102.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,二層
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,3.58,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPUNMLTKRHNFFAV38CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
