編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLOJQHMFFAT47CA,25,110.35,見其他登記事項,鋼筋混凝土造,81年10月20日,七層,四層
RPUOMLOJQHMFFAT47CA,25,27.07,住家用,鋼筋混凝土造,81年10月20日,七層,
RPUOMLRJQHMFFAT77CA,,189.65,住家用,鋼筋混凝土造,106年3月28日,三層,一層 二層 三層 屋頂突出物
RPROMLLKQHMFFAT96CA,29,108.48,住家用,加強磚造,77年11月3日,二層,一層 二層
RPWOMLRJQHMFFAT97CA,,192.13,住家用,鋼筋混凝土造,106年3月28日,三層,一層 二層 三層 屋頂突出物
RPTNMLTLQHMFFAT97CA,24,151.39,住家用,鋼筋混凝土造,82年5月14日,三層,一層 二層 三層
RPPNMLOJQHMFFAT86CA,3,279.12,住家用,鋼筋混凝土造,103年6月10日,四層,一層 二層 三層 四層
RPPNMLOKRHMFFAT07CA,22,68.95,住家用,鋼筋混凝土造,84年5月25日,十二層,七層
RPPNMLOKRHMFFAT07CA,22,42.11,見其他登記事項,鋼筋混凝土造,84年5月25日,,
RPXNMLSJQHMFFAT08CA,1,100.42,見其他登記事項,鋼筋混凝土造,105年12月29日,四層,一層 二層 三層 四層
RPXNMLSJQHMFFAT08CA,1,100.42,見其他登記事項,鋼筋混凝土造,105年12月29日,四層,一層 二層 三層 四層
RPQNMLKKQHMFFAT66CA,,95.37,住商用,磚造,,二層,一層 二層 騎樓
RPVNMLRJQHMFFAT77CA,49,111.22,見其他登記事項,磚造,57年11月25日,二層,一層 二層
RPOOMLRJQHMFFAT17CA,24,189.52,見其他登記事項,鋼筋混凝土造,82年5月5日,四層,一層 二層 三層 四層 騎樓
RPQOMLTJQHMFFAT57CA,2,77.87,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,四層
RPQOMLTJQHMFFAT57CA,2,32.12,見其他登記事項,鋼筋混凝土造,104年1月30日,五層,
RPPNMLOKQHMFFAT96CA,23,176.79,住商用,鋼筋混凝土造,83年5月26日,四層,一層 二層 三層 四層
RPQOMLKMQHMFFCT17CA,7,257.26,住商用,鋼筋混凝土造,99年4月9日,三層,一層 二層 三層 騎樓
RPPNMLOJQHMFFET27CA,22,23.01,住家用,鋼筋混凝土造,84年7月10日,四層,三層
RPPNMLOJQHMFFET27CA,22,23.01,住家用,鋼筋混凝土造,84年7月10日,四層,二層
RPQNMLLKQHMFFET17CA,,47.86,住家用,加強磚造,,二層,一層 二層 騎樓
RPQNMLTLQHMFFDT97CA,,189.43,住宅,鋼筋混凝土構造,106年2月9日,三層,一層 二層 三層 屋頂突出物
RPXOMLNJQHMFFAT77DA,22,29.58,住家用,鋼筋混凝土造,84年10月30日,六層,四層
RPXOMLNJQHMFFAT77DA,22,8.77,見其他登記事項,鋼筋混凝土造,84年10月30日,六層,
RPUNMLKKQHMFFAT17DA,24,26.53,住家用,鋼筋混凝土造,82年12月4日,十五層,十二層
RPUNMLKKQHMFFAT17DA,24,13.22,見其他登記事項,鋼筋混凝土造,82年12月4日,十五層,
RPUNMLKKQHMFFBT17CA,21,139.03,住家用,加強磚造,85年1月20日,二層,一層 二層
RPPNMLKKQHMFFFT07CA,23,188.84,住家用,加強磚造,83年3月26日,二層,一層 二層
RPSNMLSKQHMFFCT87CA,22,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,五層
RPSNMLSKQHMFFCT87CA,22,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPXNMLRJQHMFFAT97CA,18,98.05,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,四層
RPXNMLRJQHMFFAT97CA,18,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPOMLRJQHMFFAT27CA,36,81.09,住家用,加強磚造,70年5月26日,二層,一層 二層
RPVOMLPKQHMFFAT77CA,17,108.55,見其他登記事項,鋼筋混凝土造,89年3月31日,十一層,十層
RPVOMLPKQHMFFAT77CA,17,66.35,見其他登記事項,鋼筋混凝土造,89年3月31日,十一層,
RPPOMLSJQHMFFAT37CA,22,33.49,見其他登記事項,鋼筋混凝土造,84年2月24日,七層,七層
RPPOMLSJQHMFFAT37CA,22,12.07,見其他登記事項,鋼筋混凝土造,84年2月24日,七層,
RPWNMLLLQHMFFCT67CA,39,72.98,住家用,見其他登記事項,67年9月15日,二層,一層 二層 騎樓
RPTNMLRJQHMFFCT77CA,28,94.37,住商用,加強磚造,78年6月1日,二層,一層 二層
RPXNMLOLQHMFFCT08CA,41,295.04,住商用,鋼筋混凝土造,65年7月9日,四層,一層 二層 三層 四層 騎樓
RPRNMLSJQHMFFAT47CA,,184.40,住家用,鋼筋混凝土造,106年5月8日,三層,一層 二層 三層
RPQNMLPKQHMFFAT17CA,24,177.03,住家用,鋼筋混凝土造,82年9月1日,四層,一層 二層 三層 四層
RPUNMLRJQHMFFAT67CA,22,34.94,住家用,鋼筋混凝土造,84年7月4日,七層,三層
RPUNMLRJQHMFFAT67CA,22,24.57,見其他登記事項,鋼筋混凝土造,84年7月4日,七層,
RPTNMLSJQHMFFAT67CA,23,91.20,住家用,鋼筋混凝土造,83年6月29日,六層,五層
RPTNMLSJQHMFFAT67CA,23,30.13,見其他登記事項,鋼筋混凝土造,83年6月29日,六層,
RPUNMLSKQHMFFAT87CA,21,336.04,住商用,鋼筋混凝土造,85年1月5日,五層,一層 二層 三層 四層 五層
RPTNMLTJQHMFFAT77CA,22,55.85,見其他登記事項,鋼筋混凝土造,84年2月15日,,
RPTNMLTJQHMFFAT77CA,22,152.31,住家用,鋼筋混凝土造,84年2月15日,七層,六層
RPTNMLSJQHMFFCT87CA,34,130.93,住家用,加強磚造,72年3月17日,二層,一層 二層
RPTNMLLLQHMFFCT37CA,52,74.00,住家用,見使用執照,54年12月9日,一層,一層 騎樓
RPSOMLPKQHMFFAT47CA,3,279.12,住家用,鋼筋混凝土造,103年6月10日,四層,一層 二層 三層 四層
RPROMLKMQHMFFDT37CA,41,56.16,住宅,加強磚造,65年7月29日,二層,一層 二層
RPQNMLKKQHMFFBT86DA,16,192.70,農舍,見其他登記事項,90年10月3日,二層,
RPRNMLTJQHMFFDT97DA,32,160.44,住宅,加強磚造,74年9月20日,二層,一層 二層
RPUNMLTJQHMFFDT18CA,24,155.98,店舖、住宅,鋼筋混凝土造,82年6月8日,三層,一層 二層 三層 騎樓
RPPNMLKKQHMFFBT76DA,29,119.04,住家用,加強磚造,77年7月16日,二層,一層 二層 騎樓
RPPNMLSJQHMFFET67CA,23,68.36,住家用,鋼筋混凝土造,83年9月5日,六層,六層
RPRNMLKKQHMFFET27DA,23,69.66,住家用,鋼筋混凝土造,83年9月5日,六層,五層
RPRNMLKKQHMFFET27DA,23,26.80,共用部份,鋼筋混凝土造,83年9月5日,六層,
RPTNMLQJRHMFFET97CA,36,90.90,住商用,鋼筋混凝土加強磚造,70年8月30日,二層,一層 二層 騎樓
RPRNMLOKQHMFFET57CA,3,184.36,見其他登記事項,鋼筋混凝土造,103年6月26日,三層,二層 三層 屋頂突出物 見其他登記事項
RPPNMLKKQHMFFCT76CA,22,143.65,住家用,鋼筋混凝土造,84年1月4日,十一層,十層 十一層
RPPNMLKKQHMFFCT76CA,22,40.86,見其他登記事項,鋼筋混凝土造,84年1月4日,十一層,
RPPNMLOKQHMFFDT27CA,1,228.00,見其他登記事項,鋼筋混凝土構造,105年1月22日,四層,一層 二層 三層 四層
RPTNMLKKQHMFFAT96CA,25,158.66,住家用,鋼筋混凝土造,81年8月26日,四層,一層 二層 三層 四層
RPSNMLOKQHMFFAT27CA,34,130.20,住家用,鋼筋混凝土造,72年12月15日,三層,一層 二層 三層
RPPNMLTJQHMFFAT37CA,25,158.51,住家用,鋼筋混凝土造,81年4月13日,四層,一層 二層 三層 四層
RPSNMLTJQHMFFAT67CA,32,147.45,住商用,鋼筋混凝土造,74年10月20日,三層,一層 二層 三層 騎樓
RPQNMLQKQHMFFDT57CA,38,203.19,店舖、住宅,鋼筋混凝土造,68年5月12日,三層,一層 二層 三層 騎樓
RPWNMLOKQHMFFCT87CA,26,241.37,住商用,鋼筋混凝土造,80年8月16日,四層,一層 二層 三層 四層
RPUNMLTLQHMFFDT38CA,1,287.48,住宅,鋼筋混凝土構造,105年12月15日,四層,一層 二層 三層 四層
RPSNMLKKQHMFFAT86CA,,85.56,住家用,磚造,,二層,一層 二層
RPTNMLLKQHMFFAT07CA,18,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,五層
RPTNMLLKQHMFFAT07CA,18,19.21,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPNMLPKQHMFFBT17CA,29,42.93,住家用,磚造,78年1月27日,一層,一層
RPSNMLLKQHMFFAT96CA,35,79.64,住家用,鋼筋混凝土造,71年6月15日,五層,二層
RPSNMLLKQHMFFAT96CA,35,.00,國民住宅,鋼筋混凝土造,71年6月15日,,屋頂突出物 地下層 見其他登記事項
RPRNMLKKQHMFFAT76CA,21,213.54,住家用,鋼筋混凝土造,85年1月30日,七層,五層
RPRNMLKKQHMFFAT76CA,21,116.49,見其他登記事項,鋼筋混凝土造,85年1月30日,七層,
RPQNMLOJRHMFFAT07CA,24,93.17,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,十層
RPQNMLOJRHMFFAT07CA,24,28.23,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,
RPQNMLMLQHMFFAT96CA,36,79.20,住家用,加強磚造,70年6月9日,二層,一層 二層
RPSNMLQKQHMFFAT47CA,18,94.08,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPSNMLQKQHMFFAT47CA,18,54.74,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
