編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMJQHHFFCH77CA,8,213.08,見其他登記事項,鋼筋混凝土造,93年2月24日,四層,一層 二層 三層 四層 屋頂突出物
SPVOMLKKQHHFFAH28CA,20,172.38,住家用,鋼筋混凝土造,81年11月10日,七層,六層 七層
SPVOMLKKQHHFFAH28CA,20,12.89,共有部份,鋼筋混凝土造,81年11月10日,七層,
SPVOMLKKQHHFFAH28CA,20,9.49,共有部份,鋼筋混凝土造,81年11月10日,七層,
SPVOMLKKQHHFFAH28CA,20,4.09,共有部份,鋼筋混凝土造,81年11月10日,七層,
