鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
斗六市,房地(土地+建物)+車位,雲林縣斗六市南揚街114巷31~60號,22.99,住,,,1010822,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861031,53.41,2,2,2,有,無,2900000,54297,升降機械,0.0,0,,RPSNMLLKRHHFFAP88DA
東勢鄉,房地(土地+建物),雲林縣東勢鄉興農街31~60號,8557.29,,特定農業區,農牧用地,1010710,土地2建物1車位0,見其他登記事項,一層,農舍,見其他登記事項,見其他登記事項,0850905,2975.04,0,0,0,無,無,16000000,,,0.0,0,,RPPNMLRLQHHFFFP07DA
北港鎮,土地,口庄段301~330地號,999.18,其他,特定農業區,農牧用地,1010723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,751550,752,,0.0,0,,RPPNMLTJIIHFFEP88DA
